Model,Accuracy,Precision,Recall,F1 Score
Linear SVM,0.9973142345568488,0.9983197983758051,0.9958100558659218,0.9970633477835268
Random Forest,0.9932216395958563,0.996620670233737,0.9885474860335196,0.9925676623194503
Logistic Regression,0.9920705972630771,0.996331828442438,0.9863128491620111,0.9912970241437394
Naive Bayes,0.9663639851643433,0.9662637053696935,0.9600558659217877,0.963149782821914
