Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.9926141450313339,0.9959279897128162,0.989987217724755,0.992948717948718
Naive Bayes,0.9663160250671441,0.9690369421311126,0.9667660843630166,0.9679001812946572
Linear SVM,0.9976499552372426,0.9987193169690501,0.9968044311887516,0.9977609553257277
Random Forest,0.9968666069829901,0.9976535836177475,0.9963783553472518,0.9970155617139203
